idx,k,c,h,w,name
0,64,10,7,7,network.backbone.conv1.weight
1,64,64,1,1,network.backbone.layer1.0.conv1.weight
2,64,64,3,3,network.backbone.layer1.0.conv2.weight
3,256,64,1,1,network.backbone.layer1.0.conv3.weight
4,256,64,1,1,network.backbone.layer1.0.downsample.0.weight
5,64,256,1,1,network.backbone.layer1.1.conv1.weight
6,64,64,3,3,network.backbone.layer1.1.conv2.weight
7,256,64,1,1,network.backbone.layer1.1.conv3.weight
8,64,256,1,1,network.backbone.layer1.2.conv1.weight
9,64,64,3,3,network.backbone.layer1.2.conv2.weight
10,256,64,1,1,network.backbone.layer1.2.conv3.weight
11,128,256,1,1,network.backbone.layer2.0.conv1.weight
12,128,128,3,3,network.backbone.layer2.0.conv2.weight
13,512,128,1,1,network.backbone.layer2.0.conv3.weight
14,512,256,1,1,network.backbone.layer2.0.downsample.0.weight
15,128,512,1,1,network.backbone.layer2.1.conv1.weight
16,128,128,3,3,network.backbone.layer2.1.conv2.weight
17,512,128,1,1,network.backbone.layer2.1.conv3.weight
18,128,512,1,1,network.backbone.layer2.2.conv1.weight
19,128,128,3,3,network.backbone.layer2.2.conv2.weight
20,512,128,1,1,network.backbone.layer2.2.conv3.weight
21,128,512,1,1,network.backbone.layer2.3.conv1.weight
22,128,128,3,3,network.backbone.layer2.3.conv2.weight
23,512,128,1,1,network.backbone.layer2.3.conv3.weight
24,256,512,1,1,network.backbone.layer3.0.conv1.weight
25,256,256,3,3,network.backbone.layer3.0.conv2.weight
26,1024,256,1,1,network.backbone.layer3.0.conv3.weight
27,1024,512,1,1,network.backbone.layer3.0.downsample.0.weight
28,256,1024,1,1,network.backbone.layer3.1.conv1.weight
29,256,256,3,3,network.backbone.layer3.1.conv2.weight
30,1024,256,1,1,network.backbone.layer3.1.conv3.weight
31,256,1024,1,1,network.backbone.layer3.2.conv1.weight
32,256,256,3,3,network.backbone.layer3.2.conv2.weight
33,1024,256,1,1,network.backbone.layer3.2.conv3.weight
34,256,1024,1,1,network.backbone.layer3.3.conv1.weight
35,256,256,3,3,network.backbone.layer3.3.conv2.weight
36,1024,256,1,1,network.backbone.layer3.3.conv3.weight
37,256,1024,1,1,network.backbone.layer3.4.conv1.weight
38,256,256,3,3,network.backbone.layer3.4.conv2.weight
39,1024,256,1,1,network.backbone.layer3.4.conv3.weight
40,256,1024,1,1,network.backbone.layer3.5.conv1.weight
41,256,256,3,3,network.backbone.layer3.5.conv2.weight
42,1024,256,1,1,network.backbone.layer3.5.conv3.weight
43,512,1024,1,1,network.backbone.layer4.0.conv1.weight
44,512,512,3,3,network.backbone.layer4.0.conv2.weight
45,2048,512,1,1,network.backbone.layer4.0.conv3.weight
46,2048,1024,1,1,network.backbone.layer4.0.downsample.0.weight
47,512,2048,1,1,network.backbone.layer4.1.conv1.weight
48,512,512,3,3,network.backbone.layer4.1.conv2.weight
49,2048,512,1,1,network.backbone.layer4.1.conv3.weight
50,512,2048,1,1,network.backbone.layer4.2.conv1.weight
51,512,512,3,3,network.backbone.layer4.2.conv2.weight
52,2048,512,1,1,network.backbone.layer4.2.conv3.weight
53,256,2048,1,1,network.classifier.0.convs.0.0.weight
54,256,2048,3,3,network.classifier.0.convs.1.0.weight
55,256,2048,3,3,network.classifier.0.convs.2.0.weight
56,256,2048,3,3,network.classifier.0.convs.3.0.weight
57,256,2048,1,1,network.classifier.0.convs.4.1.weight
58,256,1280,1,1,network.classifier.0.project.0.weight
59,256,256,3,3,network.classifier.1.weight
60,4,256,1,1,network.classifier.4.weight
